,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"filtered_prob[8, 0]",0.402,0.189,0.061,0.74,0.006,0.003,1062.0,1526.0,1.0
"filtered_prob[8, 1]",0.441,0.184,0.099,0.768,0.005,0.003,1568.0,1722.0,1.0
"filtered_prob[8, 2]",0.157,0.137,0.0,0.406,0.004,0.004,1145.0,1580.0,1.0
"filtered_prob[9, 0]",0.173,0.124,0.0,0.391,0.003,0.003,1209.0,1633.0,1.0
"filtered_prob[9, 1]",0.545,0.182,0.205,0.875,0.005,0.002,1245.0,1531.0,1.0
"filtered_prob[9, 2]",0.282,0.167,0.0,0.558,0.004,0.002,1395.0,1300.0,1.0
"filtered_prob[10, 0]",0.966,0.046,0.887,1.0,0.001,0.002,1665.0,1885.0,1.0
"filtered_prob[10, 1]",0.032,0.046,0.0,0.108,0.001,0.002,1475.0,1958.0,1.0
"filtered_prob[10, 2]",0.002,0.008,0.0,0.009,0.0,0.001,773.0,659.0,1.0
"filtered_prob[11, 0]",0.444,0.107,0.236,0.635,0.003,0.002,1195.0,1693.0,1.0
"filtered_prob[11, 1]",0.25,0.169,0.022,0.578,0.009,0.005,449.0,1076.0,1.0
"filtered_prob[11, 2]",0.306,0.148,0.003,0.513,0.007,0.004,555.0,679.0,1.0
"filtered_prob[12, 0]",0.083,0.074,0.0,0.216,0.002,0.002,1173.0,1671.0,1.0
"filtered_prob[12, 1]",0.333,0.238,0.007,0.816,0.014,0.009,388.0,953.0,1.0
"filtered_prob[12, 2]",0.583,0.233,0.063,0.874,0.013,0.009,494.0,906.0,1.0
"filtered_prob[13, 0]",0.986,0.028,0.953,1.0,0.001,0.003,1666.0,1616.0,1.0
"filtered_prob[13, 1]",0.013,0.028,0.0,0.046,0.001,0.003,1653.0,1606.0,1.0
"filtered_prob[13, 2]",0.001,0.003,0.0,0.004,0.0,0.0,873.0,1024.0,1.0
"filtered_prob[14, 0]",0.129,0.109,0.0,0.335,0.003,0.003,1173.0,1602.0,1.0
"filtered_prob[14, 1]",0.321,0.27,0.018,0.877,0.016,0.01,463.0,889.0,1.0
"filtered_prob[14, 2]",0.55,0.265,0.002,0.862,0.013,0.008,563.0,848.0,1.0
"filtered_prob[15, 0]",0.826,0.125,0.593,0.995,0.004,0.004,1117.0,1868.0,1.0
"filtered_prob[15, 1]",0.148,0.116,0.001,0.359,0.003,0.004,1294.0,2024.0,1.0
"filtered_prob[15, 2]",0.026,0.039,0.0,0.1,0.001,0.002,1361.0,1543.0,1.0
"filtered_prob[16, 0]",0.989,0.022,0.961,1.0,0.001,0.002,1646.0,1683.0,1.0
"filtered_prob[16, 1]",0.011,0.021,0.0,0.038,0.001,0.002,1715.0,1594.0,1.0
"filtered_prob[16, 2]",0.001,0.002,0.0,0.003,0.0,0.0,1254.0,1701.0,1.0
"filtered_prob[17, 0]",0.993,0.014,0.977,1.0,0.0,0.001,1570.0,1424.0,1.0
"filtered_prob[17, 1]",0.006,0.013,0.0,0.022,0.0,0.001,1770.0,1630.0,1.0
"filtered_prob[17, 2]",0.001,0.002,0.0,0.003,0.0,0.0,1426.0,1672.0,1.0
"filtered_prob[18, 0]",0.738,0.159,0.437,0.978,0.005,0.004,1011.0,1510.0,1.0
"filtered_prob[18, 1]",0.2,0.151,0.004,0.48,0.005,0.004,936.0,1489.0,1.0
"filtered_prob[18, 2]",0.062,0.077,0.0,0.207,0.002,0.003,1288.0,1383.0,1.0
"filtered_prob[19, 0]",0.083,0.083,0.0,0.235,0.002,0.003,1192.0,1717.0,1.0
"filtered_prob[19, 1]",0.317,0.258,0.0,0.836,0.016,0.01,380.0,798.0,1.0
"filtered_prob[19, 2]",0.6,0.253,0.05,0.908,0.014,0.01,457.0,682.0,1.0
"filtered_prob[20, 0]",0.193,0.101,0.023,0.374,0.003,0.002,1146.0,1713.0,1.0
"filtered_prob[20, 1]",0.372,0.182,0.093,0.725,0.009,0.004,523.0,950.0,1.0
"filtered_prob[20, 2]",0.435,0.161,0.093,0.695,0.007,0.005,633.0,612.0,1.0
"filtered_prob[21, 0]",0.081,0.067,0.0,0.202,0.002,0.002,1209.0,1653.0,1.0
"filtered_prob[21, 1]",0.387,0.212,0.075,0.82,0.01,0.005,538.0,1168.0,1.0
"filtered_prob[21, 2]",0.531,0.208,0.1,0.852,0.009,0.005,629.0,1099.0,1.0
"filtered_prob[22, 0]",0.99,0.025,0.963,1.0,0.001,0.003,1753.0,1603.0,1.0
"filtered_prob[22, 1]",0.01,0.025,0.0,0.034,0.001,0.003,1652.0,1631.0,1.0
"filtered_prob[22, 2]",0.001,0.003,0.0,0.003,0.0,0.001,818.0,1051.0,1.0
"filtered_prob[23, 0]",0.992,0.015,0.976,1.0,0.0,0.002,1700.0,1551.0,1.0
"filtered_prob[23, 1]",0.007,0.015,0.0,0.023,0.0,0.002,1843.0,1657.0,1.0
"filtered_prob[23, 2]",0.001,0.002,0.0,0.003,0.0,0.0,1434.0,1676.0,1.0
"filtered_prob[24, 0]",0.858,0.104,0.668,0.994,0.003,0.003,1161.0,2116.0,1.0
"filtered_prob[24, 1]",0.116,0.099,0.001,0.293,0.003,0.003,1138.0,1905.0,1.0
"filtered_prob[24, 2]",0.027,0.039,0.0,0.097,0.001,0.002,1493.0,1446.0,1.0
"filtered_prob[25, 0]",0.129,0.108,0.0,0.33,0.003,0.003,1173.0,1552.0,1.0
"filtered_prob[25, 1]",0.335,0.249,0.019,0.831,0.014,0.009,418.0,603.0,1.0
"filtered_prob[25, 2]",0.536,0.238,0.027,0.836,0.012,0.008,504.0,555.0,1.0
"filtered_prob[26, 0]",0.088,0.075,0.0,0.225,0.002,0.002,1141.0,1501.0,1.0
"filtered_prob[26, 1]",0.349,0.21,0.053,0.785,0.012,0.007,405.0,782.0,1.0
"filtered_prob[26, 2]",0.563,0.201,0.116,0.84,0.011,0.008,515.0,735.0,1.0
"filtered_prob[27, 0]",0.141,0.096,0.0,0.311,0.003,0.002,1195.0,1804.0,1.0
"filtered_prob[27, 1]",0.454,0.199,0.131,0.837,0.008,0.003,732.0,1413.0,1.0
"filtered_prob[27, 2]",0.405,0.193,0.0,0.692,0.007,0.003,916.0,1519.0,1.0
"filtered_prob[28, 0]",0.857,0.102,0.674,0.997,0.003,0.003,1569.0,2025.0,1.0
"filtered_prob[28, 1]",0.128,0.099,0.0,0.305,0.003,0.003,1482.0,1765.0,1.0
"filtered_prob[28, 2]",0.015,0.026,0.0,0.059,0.001,0.002,999.0,1276.0,1.0
"filtered_prob[29, 0]",0.077,0.079,0.0,0.225,0.002,0.003,1246.0,1765.0,1.0
"filtered_prob[29, 1]",0.299,0.25,0.0,0.826,0.016,0.011,328.0,750.0,1.0
"filtered_prob[29, 2]",0.624,0.249,0.077,0.936,0.015,0.011,411.0,636.0,1.0
"filtered_prob[30, 0]",0.098,0.076,0.0,0.233,0.002,0.002,1182.0,1739.0,1.0
"filtered_prob[30, 1]",0.37,0.215,0.06,0.816,0.011,0.006,502.0,1128.0,1.0
"filtered_prob[30, 2]",0.532,0.21,0.081,0.842,0.01,0.006,603.0,1056.0,1.0
"filtered_prob[31, 0]",0.387,0.172,0.047,0.672,0.005,0.003,1278.0,1829.0,1.0
"filtered_prob[31, 1]",0.455,0.177,0.137,0.791,0.005,0.003,1287.0,1435.0,1.0
"filtered_prob[31, 2]",0.159,0.129,0.0,0.394,0.003,0.002,1476.0,1414.0,1.0
"filtered_prob[32, 0]",0.057,0.06,0.0,0.166,0.002,0.002,1243.0,1753.0,1.0
"filtered_prob[32, 1]",0.357,0.223,0.0,0.771,0.012,0.005,414.0,961.0,1.0
"filtered_prob[32, 2]",0.586,0.22,0.148,0.941,0.011,0.005,472.0,940.0,1.0
"filtered_prob[33, 0]",0.315,0.164,0.031,0.608,0.005,0.002,1222.0,1829.0,1.0
"filtered_prob[33, 1]",0.486,0.178,0.163,0.822,0.005,0.003,1329.0,1301.0,1.0
"filtered_prob[33, 2]",0.199,0.145,0.0,0.451,0.003,0.002,1548.0,1407.0,1.0
"filtered_prob[34, 0]",0.055,0.056,0.0,0.156,0.002,0.002,1237.0,1753.0,1.0
"filtered_prob[34, 1]",0.373,0.219,0.0,0.761,0.01,0.004,489.0,1094.0,1.0
"filtered_prob[34, 2]",0.572,0.214,0.172,0.946,0.009,0.004,566.0,1080.0,1.0
"filtered_prob[35, 0]",0.058,0.069,0.0,0.176,0.002,0.003,1171.0,1783.0,1.0
"filtered_prob[35, 1]",0.306,0.223,0.0,0.694,0.008,0.003,647.0,1197.0,1.0
"filtered_prob[35, 2]",0.637,0.217,0.246,0.984,0.007,0.003,868.0,1605.0,1.0
"filtered_prob[36, 0]",0.608,0.189,0.265,0.938,0.005,0.003,1285.0,1926.0,1.0
"filtered_prob[36, 1]",0.311,0.174,0.012,0.62,0.004,0.003,1591.0,2028.0,1.0
"filtered_prob[36, 2]",0.081,0.098,0.0,0.261,0.004,0.005,858.0,990.0,1.0
"filtered_prob[37, 0]",0.718,0.165,0.404,0.973,0.004,0.003,1635.0,2299.0,1.0
"filtered_prob[37, 1]",0.242,0.158,0.004,0.535,0.004,0.003,1636.0,2187.0,1.0
"filtered_prob[37, 2]",0.039,0.056,0.0,0.131,0.002,0.003,1269.0,1021.0,1.0
"filtered_prob[38, 0]",0.605,0.194,0.252,0.949,0.005,0.003,1420.0,1945.0,1.0
"filtered_prob[38, 1]",0.326,0.184,0.035,0.678,0.005,0.003,1419.0,1795.0,1.0
"filtered_prob[38, 2]",0.069,0.077,0.0,0.213,0.002,0.002,1469.0,1367.0,1.0
"filtered_prob[39, 0]",0.154,0.12,0.0,0.367,0.003,0.003,1276.0,1768.0,1.0
"filtered_prob[39, 1]",0.481,0.218,0.119,0.872,0.009,0.003,621.0,1418.0,1.0
"filtered_prob[39, 2]",0.365,0.197,0.0,0.653,0.008,0.003,688.0,1270.0,1.0
"filtered_prob[40, 0]",0.95,0.058,0.848,1.0,0.001,0.002,1606.0,2095.0,1.0
"filtered_prob[40, 1]",0.046,0.057,0.0,0.147,0.001,0.002,1496.0,1921.0,1.0
"filtered_prob[40, 2]",0.003,0.009,0.0,0.014,0.0,0.001,1097.0,1573.0,1.0
"filtered_prob[41, 0]",0.465,0.19,0.115,0.807,0.006,0.003,1101.0,1739.0,1.0
"filtered_prob[41, 1]",0.361,0.204,0.046,0.747,0.008,0.004,772.0,1306.0,1.0
"filtered_prob[41, 2]",0.174,0.15,0.0,0.455,0.004,0.002,981.0,1318.0,1.0
"filtered_prob[42, 0]",0.812,0.136,0.557,0.994,0.004,0.003,1468.0,2076.0,1.0
"filtered_prob[42, 1]",0.167,0.132,0.002,0.415,0.003,0.004,1506.0,1966.0,1.0
"filtered_prob[42, 2]",0.021,0.032,0.0,0.074,0.001,0.001,1524.0,1455.0,1.0
"filtered_prob[43, 0]",0.174,0.129,0.0,0.412,0.004,0.003,1244.0,1861.0,1.0
"filtered_prob[43, 1]",0.423,0.241,0.062,0.862,0.011,0.005,536.0,1169.0,1.0
"filtered_prob[43, 2]",0.403,0.225,0.0,0.723,0.01,0.004,595.0,1042.0,1.0
"filtered_prob[44, 0]",0.504,0.184,0.163,0.834,0.005,0.002,1421.0,1706.0,1.0
"filtered_prob[44, 1]",0.404,0.185,0.081,0.749,0.005,0.003,1383.0,1394.0,1.0
"filtered_prob[44, 2]",0.092,0.091,0.0,0.267,0.002,0.003,1432.0,1435.0,1.0
"filtered_prob[45, 0]",0.075,0.079,0.0,0.22,0.002,0.003,1245.0,1783.0,1.0
"filtered_prob[45, 1]",0.383,0.228,0.031,0.826,0.012,0.005,382.0,953.0,1.0
"filtered_prob[45, 2]",0.543,0.221,0.087,0.871,0.011,0.006,448.0,767.0,1.0
"filtered_prob[46, 0]",0.488,0.181,0.148,0.812,0.005,0.002,1454.0,2098.0,1.0
"filtered_prob[46, 1]",0.41,0.178,0.096,0.752,0.005,0.003,1471.0,1315.0,1.0
"filtered_prob[46, 2]",0.103,0.097,0.0,0.292,0.002,0.002,1515.0,1563.0,1.0
"filtered_prob[47, 0]",0.092,0.08,0.0,0.238,0.002,0.002,1273.0,1813.0,1.0
"filtered_prob[47, 1]",0.45,0.219,0.116,0.877,0.01,0.004,540.0,1307.0,1.0
"filtered_prob[47, 2]",0.458,0.212,0.038,0.782,0.009,0.004,588.0,1112.0,1.0
"filtered_prob[48, 0]",0.141,0.098,0.0,0.31,0.003,0.002,1259.0,1813.0,1.0
"filtered_prob[48, 1]",0.515,0.195,0.161,0.864,0.007,0.003,872.0,1597.0,1.0
"filtered_prob[48, 2]",0.344,0.185,0.0,0.631,0.006,0.003,962.0,1383.0,1.0
"filtered_prob[49, 0]",0.058,0.052,0.0,0.15,0.001,0.002,1227.0,1715.0,1.0
"filtered_prob[49, 1]",0.408,0.219,0.081,0.865,0.009,0.004,574.0,1289.0,1.0
"filtered_prob[49, 2]",0.535,0.215,0.101,0.887,0.009,0.004,616.0,1221.0,1.0
"filtered_prob[50, 0]",0.321,0.152,0.042,0.583,0.004,0.002,1359.0,1828.0,1.0
"filtered_prob[50, 1]",0.502,0.173,0.17,0.817,0.005,0.002,1417.0,1626.0,1.0
"filtered_prob[50, 2]",0.177,0.139,0.0,0.429,0.003,0.003,1551.0,1369.0,1.0
"filtered_prob[51, 0]",0.134,0.097,0.0,0.301,0.003,0.002,1312.0,1894.0,1.0
"filtered_prob[51, 1]",0.555,0.191,0.209,0.901,0.006,0.002,1093.0,1586.0,1.0
"filtered_prob[51, 2]",0.311,0.182,0.0,0.607,0.005,0.003,1148.0,1350.0,1.0
"filtered_prob[52, 0]",0.32,0.17,0.033,0.633,0.005,0.003,1405.0,1674.0,1.0
"filtered_prob[52, 1]",0.546,0.187,0.22,0.9,0.005,0.003,1244.0,1600.0,1.01
"filtered_prob[52, 2]",0.134,0.123,0.0,0.366,0.003,0.003,1513.0,1383.0,1.0
"filtered_prob[53, 0]",0.13,0.102,0.0,0.315,0.003,0.003,1373.0,1844.0,1.0
"filtered_prob[53, 1]",0.576,0.189,0.235,0.912,0.005,0.002,1212.0,1772.0,1.0
"filtered_prob[53, 2]",0.294,0.177,0.0,0.58,0.005,0.002,1103.0,1295.0,1.0
"filtered_prob[54, 0]",0.058,0.054,0.0,0.156,0.001,0.002,1259.0,1756.0,1.0
"filtered_prob[54, 1]",0.443,0.218,0.086,0.862,0.009,0.003,636.0,1292.0,1.0
"filtered_prob[54, 2]",0.499,0.216,0.065,0.844,0.009,0.004,662.0,1153.0,1.0
"filtered_prob[55, 0]",0.585,0.172,0.28,0.911,0.004,0.003,1644.0,2098.0,1.0
"filtered_prob[55, 1]",0.351,0.168,0.07,0.674,0.004,0.003,1441.0,1887.0,1.0
"filtered_prob[55, 2]",0.065,0.078,0.0,0.208,0.002,0.003,1342.0,1518.0,1.0
"filtered_prob[56, 0]",0.956,0.052,0.864,1.0,0.001,0.002,1750.0,1570.0,1.0
"filtered_prob[56, 1]",0.042,0.052,0.0,0.133,0.001,0.002,1618.0,2067.0,1.0
"filtered_prob[56, 2]",0.003,0.007,0.0,0.01,0.0,0.001,1070.0,1448.0,1.0
"filtered_prob[57, 0]",0.105,0.1,0.0,0.297,0.003,0.003,1243.0,1768.0,1.0
"filtered_prob[57, 1]",0.297,0.257,0.0,0.836,0.016,0.011,336.0,595.0,1.0
"filtered_prob[57, 2]",0.598,0.255,0.042,0.905,0.015,0.01,460.0,730.0,1.0
"filtered_prob[58, 0]",0.063,0.071,0.0,0.187,0.002,0.003,1186.0,1707.0,1.0
"filtered_prob[58, 1]",0.273,0.223,0.0,0.723,0.013,0.008,333.0,581.0,1.0
"filtered_prob[58, 2]",0.665,0.222,0.197,0.981,0.013,0.009,411.0,568.0,1.0
"filtered_prob[59, 0]",0.061,0.064,0.0,0.173,0.002,0.002,1169.0,1698.0,1.0
"filtered_prob[59, 1]",0.268,0.202,0.0,0.65,0.01,0.006,415.0,848.0,1.0
"filtered_prob[59, 2]",0.671,0.197,0.297,0.981,0.01,0.006,540.0,635.0,1.0
"filtered_prob[60, 0]",0.944,0.066,0.832,1.0,0.002,0.003,1796.0,1793.0,1.0
"filtered_prob[60, 1]",0.049,0.064,0.0,0.156,0.002,0.003,1812.0,1699.0,1.0
"filtered_prob[60, 2]",0.007,0.017,0.0,0.028,0.001,0.002,711.0,593.0,1.0
"filtered_prob[61, 0]",0.971,0.036,0.914,1.0,0.001,0.002,1699.0,1425.0,1.0
"filtered_prob[61, 1]",0.026,0.035,0.0,0.082,0.001,0.002,1853.0,1768.0,1.0
"filtered_prob[61, 2]",0.003,0.006,0.0,0.012,0.0,0.0,1452.0,1601.0,1.0
"filtered_prob[62, 0]",0.1,0.094,0.0,0.279,0.003,0.003,1245.0,1610.0,1.0
"filtered_prob[62, 1]",0.295,0.271,0.004,0.865,0.017,0.011,378.0,620.0,1.0
"filtered_prob[62, 2]",0.605,0.27,0.033,0.92,0.015,0.011,485.0,625.0,1.0
"filtered_prob[63, 0]",0.354,0.174,0.035,0.649,0.005,0.002,1394.0,1795.0,1.0
"filtered_prob[63, 1]",0.434,0.191,0.118,0.801,0.006,0.003,1000.0,1504.0,1.0
"filtered_prob[63, 2]",0.212,0.156,0.0,0.498,0.004,0.002,1165.0,1459.0,1.0
"filtered_prob[64, 0]",0.059,0.063,0.0,0.173,0.002,0.002,1236.0,1705.0,1.0
"filtered_prob[64, 1]",0.341,0.23,0.0,0.784,0.013,0.007,375.0,878.0,1.0
"filtered_prob[64, 2]",0.6,0.227,0.135,0.943,0.012,0.007,420.0,637.0,1.0
"filtered_prob[65, 0]",0.137,0.099,0.001,0.313,0.003,0.002,1309.0,1877.0,1.0
"filtered_prob[65, 1]",0.442,0.2,0.112,0.827,0.008,0.003,713.0,1415.0,1.0
"filtered_prob[65, 2]",0.42,0.198,0.0,0.709,0.007,0.003,859.0,1384.0,1.0
"filtered_prob[66, 0]",0.097,0.074,0.0,0.224,0.002,0.002,1288.0,1723.0,1.0
"filtered_prob[66, 1]",0.454,0.21,0.113,0.861,0.008,0.003,720.0,1754.0,1.0
"filtered_prob[66, 2]",0.449,0.208,0.0,0.748,0.008,0.003,802.0,1365.0,1.0
"filtered_prob[67, 0]",0.051,0.05,0.0,0.139,0.001,0.002,1224.0,1772.0,1.0
"filtered_prob[67, 1]",0.34,0.218,0.0,0.74,0.01,0.004,469.0,1236.0,1.0
"filtered_prob[67, 2]",0.61,0.214,0.19,0.96,0.01,0.005,549.0,1184.0,1.0
"filtered_prob[68, 0]",0.125,0.09,0.0,0.283,0.002,0.002,1265.0,1828.0,1.0
"filtered_prob[68, 1]",0.441,0.201,0.105,0.828,0.007,0.003,886.0,1727.0,1.0
"filtered_prob[68, 2]",0.434,0.199,0.0,0.729,0.006,0.003,1123.0,1502.0,1.0
"filtered_prob[69, 0]",0.868,0.099,0.699,0.998,0.002,0.003,1797.0,2220.0,1.0
"filtered_prob[69, 1]",0.118,0.097,0.0,0.285,0.002,0.003,1591.0,1962.0,1.0
"filtered_prob[69, 2]",0.014,0.027,0.0,0.054,0.001,0.002,923.0,887.0,1.0
"filtered_prob[70, 0]",0.991,0.021,0.968,1.0,0.001,0.002,1791.0,1709.0,1.0
"filtered_prob[70, 1]",0.008,0.02,0.0,0.031,0.001,0.002,1766.0,1274.0,1.0
"filtered_prob[70, 2]",0.001,0.002,0.0,0.002,0.0,0.0,1222.0,1736.0,1.0
"filtered_prob[71, 0]",0.342,0.184,0.032,0.668,0.005,0.003,1199.0,1980.0,1.0
"filtered_prob[71, 1]",0.371,0.235,0.027,0.799,0.01,0.004,627.0,1367.0,1.0
"filtered_prob[71, 2]",0.288,0.212,0.0,0.647,0.007,0.002,757.0,1304.0,1.0
"filtered_prob[72, 0]",0.126,0.104,0.0,0.312,0.003,0.003,1234.0,1594.0,1.0
"filtered_prob[72, 1]",0.439,0.236,0.096,0.885,0.01,0.004,586.0,1406.0,1.0
"filtered_prob[72, 2]",0.435,0.228,0.0,0.748,0.01,0.004,636.0,1271.0,1.0
"filtered_prob[73, 0]",0.051,0.048,0.0,0.135,0.001,0.002,1581.0,1854.0,1.0
"filtered_prob[73, 1]",0.756,0.141,0.49,0.968,0.004,0.003,1560.0,1961.0,1.0
"filtered_prob[73, 2]",0.194,0.14,0.0,0.446,0.004,0.003,1281.0,1768.0,1.0
"filtered_prob[74, 0]",0.165,0.112,0.004,0.355,0.003,0.003,1570.0,1794.0,1.0
"filtered_prob[74, 1]",0.667,0.139,0.401,0.907,0.004,0.003,1150.0,1635.0,1.0
"filtered_prob[74, 2]",0.168,0.129,0.0,0.396,0.003,0.002,1420.0,1448.0,1.0
"filtered_prob[75, 0]",0.049,0.053,0.0,0.146,0.001,0.002,1313.0,1859.0,1.0
"filtered_prob[75, 1]",0.448,0.203,0.081,0.806,0.007,0.003,781.0,1062.0,1.0
"filtered_prob[75, 2]",0.503,0.199,0.152,0.873,0.007,0.003,824.0,1422.0,1.0
"filtered_prob[76, 0]",0.054,0.055,0.0,0.156,0.002,0.002,1187.0,1768.0,1.0
"filtered_prob[76, 1]",0.359,0.205,0.0,0.693,0.007,0.003,768.0,1106.0,1.0
"filtered_prob[76, 2]",0.587,0.196,0.238,0.926,0.006,0.003,918.0,1878.0,1.0
"filtered_prob[77, 0]",0.87,0.11,0.669,1.0,0.003,0.003,1743.0,1844.0,1.0
"filtered_prob[77, 1]",0.113,0.105,0.0,0.303,0.002,0.003,1728.0,2102.0,1.0
"filtered_prob[77, 2]",0.017,0.036,0.0,0.069,0.002,0.003,640.0,460.0,1.0
"filtered_prob[78, 0]",0.248,0.125,0.04,0.483,0.003,0.003,1316.0,1683.0,1.0
"filtered_prob[78, 1]",0.353,0.199,0.051,0.728,0.01,0.004,424.0,1184.0,1.0
"filtered_prob[78, 2]",0.399,0.177,0.039,0.665,0.008,0.004,585.0,878.0,1.0
"filtered_prob[79, 0]",0.105,0.089,0.0,0.261,0.002,0.003,1271.0,1691.0,1.0
"filtered_prob[79, 1]",0.417,0.214,0.09,0.83,0.01,0.004,539.0,1397.0,1.0
"filtered_prob[79, 2]",0.477,0.208,0.061,0.803,0.009,0.004,633.0,1164.0,1.0
"filtered_prob[80, 0]",0.279,0.151,0.021,0.539,0.004,0.003,1455.0,1927.0,1.0
"filtered_prob[80, 1]",0.511,0.179,0.194,0.862,0.005,0.003,1180.0,1579.0,1.0
"filtered_prob[80, 2]",0.211,0.154,0.0,0.475,0.004,0.002,1359.0,1606.0,1.0
"filtered_prob[81, 0]",0.237,0.101,0.05,0.416,0.003,0.002,1445.0,2039.0,1.0
"filtered_prob[81, 1]",0.448,0.157,0.139,0.727,0.005,0.002,943.0,1430.0,1.0
"filtered_prob[81, 2]",0.314,0.135,0.053,0.551,0.005,0.002,911.0,1311.0,1.0
"filtered_prob[82, 0]",0.157,0.114,0.001,0.361,0.003,0.003,1469.0,1909.0,1.0
"filtered_prob[82, 1]",0.538,0.19,0.193,0.887,0.006,0.002,1001.0,1701.0,1.0
"filtered_prob[82, 2]",0.306,0.183,0.0,0.607,0.005,0.002,1096.0,1454.0,1.0
"filtered_prob[83, 0]",0.169,0.119,0.008,0.391,0.003,0.003,1534.0,1998.0,1.0
"filtered_prob[83, 1]",0.573,0.191,0.239,0.929,0.005,0.002,1277.0,1738.0,1.0
"filtered_prob[83, 2]",0.257,0.178,0.0,0.565,0.005,0.002,1280.0,1446.0,1.0
"filtered_prob[84, 0]",0.512,0.19,0.169,0.876,0.005,0.003,1682.0,1623.0,1.0
"filtered_prob[84, 1]",0.421,0.188,0.077,0.757,0.006,0.003,1142.0,1836.0,1.01
"filtered_prob[84, 2]",0.067,0.082,0.0,0.227,0.002,0.003,1287.0,1433.0,1.0
"filtered_prob[85, 0]",0.233,0.156,0.01,0.518,0.004,0.003,1605.0,1979.0,1.0
"filtered_prob[85, 1]",0.561,0.189,0.216,0.906,0.005,0.003,1255.0,1479.0,1.0
"filtered_prob[85, 2]",0.207,0.155,0.0,0.484,0.004,0.002,1126.0,1444.0,1.0
"filtered_prob[86, 0]",0.331,0.103,0.155,0.527,0.003,0.002,1517.0,2149.0,1.0
"filtered_prob[86, 1]",0.415,0.141,0.157,0.679,0.004,0.002,1227.0,1815.0,1.0
"filtered_prob[86, 2]",0.254,0.115,0.038,0.449,0.004,0.002,867.0,1062.0,1.0
"filtered_prob[87, 0]",0.654,0.173,0.329,0.952,0.004,0.003,1861.0,1985.0,1.0
